✓ Initialized. View run at 
https://modal.com/apps/xjr2423/main/ap-eNvxxS6lLriHmyhnU976uF
✓ Created objects.
├── 🔨 Created mount PythonPackage:bench
└── 🔨 Created function run_benchmark.
Packing solution from source files...
Loaded: my-team-solution-v1 (moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048)

Running benchmark on Modal B200...

[bench] wrote JSON to /home/ubuntu/data/jxu/kernel_agent/trajectory/20260418_012323_iter-1-b/bench_result.json
COMPILED: True
CORRECT: True
RUNTIME: 1.5257
REF_RUNTIME: 16.9143
SPEEDUP: 14.64x
SOTA_GEOMEAN_GAP: 4.217x
SOTA_TOTAL_HEADROOM_MS: 16.070
SOTA_CONVERGED: 0/19 (within 1.10x)

[Kernel] TLX installed: False | GEMM1: unknown | GEMM2: unknown

--- moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048 ---
  [seq=1] Workload e05c6c03...: PASSED | 0.729 ms | sota=0.063 ms | gap=11.57x | 15.03x speedup | abs_err=2.05e+03, rel_err=1.47e+02
  [seq=7] Workload b8f4f012...: PASSED | 0.743 ms | sota=0.095 ms | gap=7.82x | 15.53x speedup | abs_err=4.10e+03, rel_err=2.09e+03
  [seq=14] Workload 8cba5890...: PASSED | 0.779 ms | sota=0.132 ms | gap=5.90x | 15.81x speedup | abs_err=2.05e+03, rel_err=3.30e+02
  [seq=15] Workload 2e69caee...: PASSED | 0.754 ms | sota=0.091 ms | gap=8.28x | 15.12x speedup | abs_err=4.10e+03, rel_err=7.15e+02
  [seq=16] Workload a7c2bcfd...: PASSED | 0.782 ms | sota=0.138 ms | gap=5.66x | 16.07x speedup | abs_err=4.10e+03, rel_err=4.63e+03
  [seq=32] Workload 6230e838...: PASSED | 0.850 ms | sota=0.201 ms | gap=4.23x | 16.30x speedup | abs_err=4.10e+03, rel_err=3.15e+03
  [seq=52] Workload f7d6ac7c...: PASSED | 0.842 ms | sota=0.179 ms | gap=4.70x | 15.94x speedup | abs_err=4.10e+03, rel_err=2.63e+04
  [seq=53] Workload fc378037...: PASSED | 0.941 ms | sota=0.230 ms | gap=4.09x | 15.69x speedup | abs_err=4.10e+03, rel_err=2.09e+03
  [seq=54] Workload 76010cb4...: PASSED | 0.903 ms | sota=0.218 ms | gap=4.14x | 16.00x speedup | abs_err=4.10e+03, rel_err=7.21e+03
  [seq=55] Workload 81955b1e...: PASSED | 0.929 ms | sota=0.233 ms | gap=3.99x | 15.80x speedup | abs_err=4.10e+03, rel_err=7.42e+03
  [seq=56] Workload 4822167c...: PASSED | 0.927 ms | sota=0.240 ms | gap=3.86x | 16.32x speedup | abs_err=4.10e+03, rel_err=1.07e+04
  [seq=57] Workload 74d7ff04...: PASSED | 0.968 ms | sota=0.237 ms | gap=4.09x | 15.94x speedup | abs_err=4.10e+03, rel_err=3.30e+02
  [seq=58] Workload e626d3e6...: PASSED | 1.023 ms | sota=0.242 ms | gap=4.23x | 15.43x speedup | abs_err=8.19e+03, rel_err=4.54e+04
  [seq=59] Workload eedc63b2...: PASSED | 0.962 ms | sota=0.202 ms | gap=4.76x | 14.45x speedup | abs_err=4.10e+03, rel_err=1.68e+03
  [seq=62] Workload 5eadab1e...: PASSED | 0.819 ms | sota=0.200 ms | gap=4.09x | 16.77x speedup | abs_err=4.10e+03, rel_err=3.18e+03
  [seq=80] Workload 8f1ff9f1...: PASSED | 0.937 ms | sota=0.269 ms | gap=3.48x | 16.76x speedup | abs_err=4.10e+03, rel_err=1.87e+04
  [seq=901] Workload 1a4c6ba1...: PASSED | 1.587 ms | sota=0.699 ms | gap=2.27x | 13.17x speedup | abs_err=4.06e+05, rel_err=3.07e+13
  [seq=11948] Workload 58a34f27...: PASSED | 5.556 ms | sota=3.671 ms | gap=1.51x | 6.45x speedup | abs_err=4.40e+05, rel_err=4.20e+13
  [seq=14107] Workload 5e8dc11c...: PASSED | 7.957 ms | sota=5.579 ms | gap=1.43x | 5.66x speedup | abs_err=6.02e+05, rel_err=6.02e+13
Stopping app - uncaught exception raised locally: SystemExit(0).
