✓ Initialized. View run at 
https://modal.com/apps/xjr2423/main/ap-MPfv6kN23Yuuhcj554dBpn
✓ Created objects.
├── 🔨 Created mount PythonPackage:bench
└── 🔨 Created function run_benchmark.
Packing solution from source files...
Loaded: my-team-solution-v1 (moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048)

Running benchmark on Modal B200...

[bench] wrote JSON to /home/ubuntu/data/jxu/kernel_agent/trajectory/20260418_020541_iter-5/bench_result.json
COMPILED: True
CORRECT: True
RUNTIME: 1.4953
REF_RUNTIME: 16.7230
SPEEDUP: 14.76x
SOTA_GEOMEAN_GAP: 4.128x
SOTA_TOTAL_HEADROOM_MS: 15.491
SOTA_CONVERGED: 0/19 (within 1.10x)

[Kernel] TLX installed: False | GEMM1: unknown | GEMM2: unknown

--- moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048 ---
  [seq=1] Workload e05c6c03...: PASSED | 0.791 ms | sota=0.063 ms | gap=12.55x | 13.85x speedup | abs_err=4.10e+03, rel_err=1.44e+01
  [seq=7] Workload b8f4f012...: PASSED | 0.765 ms | sota=0.095 ms | gap=8.05x | 15.05x speedup | abs_err=4.10e+03, rel_err=8.03e+01
  [seq=14] Workload 8cba5890...: PASSED | 0.777 ms | sota=0.132 ms | gap=5.89x | 15.75x speedup | abs_err=4.10e+03, rel_err=6.25e+02
  [seq=15] Workload 2e69caee...: PASSED | 0.753 ms | sota=0.091 ms | gap=8.27x | 15.10x speedup | abs_err=4.10e+03, rel_err=2.56e+03
  [seq=16] Workload a7c2bcfd...: PASSED | 0.803 ms | sota=0.138 ms | gap=5.82x | 15.56x speedup | abs_err=4.10e+03, rel_err=5.43e+02
  [seq=32] Workload 6230e838...: PASSED | 0.884 ms | sota=0.201 ms | gap=4.40x | 15.48x speedup | abs_err=4.10e+03, rel_err=1.26e+04
  [seq=52] Workload f7d6ac7c...: PASSED | 0.803 ms | sota=0.179 ms | gap=4.49x | 16.31x speedup | abs_err=4.10e+03, rel_err=2.11e+03
  [seq=53] Workload fc378037...: PASSED | 0.877 ms | sota=0.230 ms | gap=3.81x | 16.43x speedup | abs_err=4.10e+03, rel_err=4.94e+04
  [seq=54] Workload 76010cb4...: PASSED | 0.860 ms | sota=0.218 ms | gap=3.94x | 16.45x speedup | abs_err=4.10e+03, rel_err=6.14e+03
  [seq=55] Workload 81955b1e...: PASSED | 0.881 ms | sota=0.233 ms | gap=3.78x | 16.36x speedup | abs_err=4.10e+03, rel_err=1.29e+03
  [seq=56] Workload 4822167c...: PASSED | 0.898 ms | sota=0.240 ms | gap=3.74x | 16.49x speedup | abs_err=3.07e+03, rel_err=1.33e+03
  [seq=57] Workload 74d7ff04...: PASSED | 0.916 ms | sota=0.237 ms | gap=3.87x | 16.08x speedup | abs_err=4.10e+03, rel_err=9.38e+03
  [seq=58] Workload e626d3e6...: PASSED | 0.887 ms | sota=0.242 ms | gap=3.66x | 17.12x speedup | abs_err=4.10e+03, rel_err=1.10e+04
  [seq=59] Workload eedc63b2...: PASSED | 0.827 ms | sota=0.202 ms | gap=4.09x | 16.34x speedup | abs_err=4.10e+03, rel_err=3.95e+03
  [seq=62] Workload 5eadab1e...: PASSED | 0.837 ms | sota=0.200 ms | gap=4.19x | 16.37x speedup | abs_err=4.10e+03, rel_err=7.79e+03
  [seq=80] Workload 8f1ff9f1...: PASSED | 0.974 ms | sota=0.269 ms | gap=3.62x | 16.13x speedup | abs_err=4.10e+03, rel_err=2.30e+03
  [seq=901] Workload 1a4c6ba1...: PASSED | 1.580 ms | sota=0.699 ms | gap=2.26x | 13.20x speedup | abs_err=3.48e+05, rel_err=3.48e+13
  [seq=11948] Workload 58a34f27...: PASSED | 5.484 ms | sota=3.671 ms | gap=1.49x | 6.53x speedup | abs_err=5.82e+05, rel_err=4.87e+13
  [seq=14107] Workload 5e8dc11c...: PASSED | 7.814 ms | sota=5.579 ms | gap=1.40x | 5.77x speedup | abs_err=6.06e+05, rel_err=4.42e+13
Stopping app - uncaught exception raised locally: SystemExit(0).
