✓ Initialized. View run at 
https://modal.com/apps/xjr2423/main/ap-WBQeSd4VMs0PnLP6yPomo5
✓ Created objects.
├── 🔨 Created mount PythonPackage:bench
└── 🔨 Created function run_benchmark.
Packing solution from source files...
Loaded: my-team-solution-v1 (moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048)

Running benchmark on Modal B200...

[bench] wrote JSON to /home/ubuntu/data/jxu/kernel_agent/trajectory/20260418_030324_iter-9-c/bench_result.json
COMPILED: True
CORRECT: True
RUNTIME: 1.4311
REF_RUNTIME: 17.0822
SPEEDUP: 16.19x
SOTA_GEOMEAN_GAP: 3.877x
SOTA_TOTAL_HEADROOM_MS: 14.272
SOTA_CONVERGED: 0/19 (within 1.10x)

[Kernel] TLX installed: False | GEMM1: unknown | GEMM2: unknown

--- moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048 ---
  [seq=1] Workload e05c6c03...: PASSED | 0.691 ms | sota=0.063 ms | gap=10.97x | 16.14x speedup | abs_err=2.82e+03, rel_err=6.39e+01
  [seq=7] Workload b8f4f012...: PASSED | 0.709 ms | sota=0.095 ms | gap=7.47x | 16.63x speedup | abs_err=4.10e+03, rel_err=2.63e+03
  [seq=14] Workload 8cba5890...: PASSED | 0.733 ms | sota=0.132 ms | gap=5.56x | 17.23x speedup | abs_err=2.05e+03, rel_err=1.27e+05
  [seq=15] Workload 2e69caee...: PASSED | 0.697 ms | sota=0.091 ms | gap=7.66x | 16.65x speedup | abs_err=4.10e+03, rel_err=5.91e+02
  [seq=16] Workload a7c2bcfd...: PASSED | 0.739 ms | sota=0.138 ms | gap=5.35x | 17.49x speedup | abs_err=4.10e+03, rel_err=1.71e+03
  [seq=32] Workload 6230e838...: PASSED | 0.805 ms | sota=0.201 ms | gap=4.00x | 17.74x speedup | abs_err=4.10e+03, rel_err=2.41e+04
  [seq=52] Workload f7d6ac7c...: PASSED | 0.762 ms | sota=0.179 ms | gap=4.26x | 17.81x speedup | abs_err=3.07e+03, rel_err=5.32e+04
  [seq=53] Workload fc378037...: PASSED | 0.846 ms | sota=0.230 ms | gap=3.68x | 17.63x speedup | abs_err=4.10e+03, rel_err=1.55e+03
  [seq=54] Workload 76010cb4...: PASSED | 0.818 ms | sota=0.218 ms | gap=3.75x | 17.88x speedup | abs_err=4.10e+03, rel_err=4.28e+02
  [seq=55] Workload 81955b1e...: PASSED | 0.849 ms | sota=0.233 ms | gap=3.64x | 17.60x speedup | abs_err=4.10e+03, rel_err=1.26e+03
  [seq=56] Workload 4822167c...: PASSED | 0.847 ms | sota=0.240 ms | gap=3.53x | 18.08x speedup | abs_err=4.10e+03, rel_err=9.97e+03
  [seq=57] Workload 74d7ff04...: PASSED | 0.836 ms | sota=0.237 ms | gap=3.53x | 18.12x speedup | abs_err=4.10e+03, rel_err=3.26e+03
  [seq=58] Workload e626d3e6...: PASSED | 0.852 ms | sota=0.242 ms | gap=3.52x | 18.20x speedup | abs_err=4.10e+03, rel_err=2.02e+03
  [seq=59] Workload eedc63b2...: PASSED | 0.788 ms | sota=0.202 ms | gap=3.90x | 17.65x speedup | abs_err=4.10e+03, rel_err=5.14e+02
  [seq=62] Workload 5eadab1e...: PASSED | 0.758 ms | sota=0.200 ms | gap=3.79x | 18.53x speedup | abs_err=4.10e+03, rel_err=3.93e+03
  [seq=80] Workload 8f1ff9f1...: PASSED | 0.898 ms | sota=0.269 ms | gap=3.34x | 17.87x speedup | abs_err=4.10e+03, rel_err=1.69e+03
  [seq=901] Workload 1a4c6ba1...: PASSED | 1.531 ms | sota=0.699 ms | gap=2.19x | 13.82x speedup | abs_err=3.85e+05, rel_err=3.85e+13
  [seq=11948] Workload 58a34f27...: PASSED | 5.349 ms | sota=3.671 ms | gap=1.46x | 6.71x speedup | abs_err=5.18e+05, rel_err=4.12e+13
  [seq=14107] Workload 5e8dc11c...: PASSED | 7.683 ms | sota=5.579 ms | gap=1.38x | 5.87x speedup | abs_err=5.69e+05, rel_err=3.91e+13
Stopping app - uncaught exception raised locally: SystemExit(0).
