✓ Initialized. View run at 
https://modal.com/apps/xjr2423/main/ap-WW6tFKCdZi1MEGx9aom48b
✓ Created objects.
├── 🔨 Created mount PythonPackage:bench
└── 🔨 Created function run_benchmark.
Packing solution from source files...
Loaded: my-team-solution-v1 (moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048)

Running benchmark on Modal B200...

[bench] wrote JSON to /home/ubuntu/data/jxu/kernel_agent/trajectory/20260418_032050_iter-10-cleanup/bench_result.json
COMPILED: True
CORRECT: True
RUNTIME: 1.1390
REF_RUNTIME: 17.0840
SPEEDUP: 24.88x
SOTA_GEOMEAN_GAP: 2.601x
SOTA_TOTAL_HEADROOM_MS: 8.721
SOTA_CONVERGED: 0/19 (within 1.10x)

[Kernel] TLX installed: False | GEMM1: unknown | GEMM2: unknown

--- moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048 ---
  [seq=1] Workload e05c6c03...: PASSED | 0.398 ms | sota=0.063 ms | gap=6.32x | 28.21x speedup | abs_err=3.07e+03, rel_err=1.00e+03
  [seq=7] Workload b8f4f012...: PASSED | 0.423 ms | sota=0.095 ms | gap=4.45x | 28.20x speedup | abs_err=4.10e+03, rel_err=3.03e+02
  [seq=14] Workload 8cba5890...: PASSED | 0.451 ms | sota=0.132 ms | gap=3.42x | 28.09x speedup | abs_err=4.10e+03, rel_err=5.32e+02
  [seq=15] Workload 2e69caee...: PASSED | 0.409 ms | sota=0.091 ms | gap=4.50x | 28.36x speedup | abs_err=4.10e+03, rel_err=4.37e+02
  [seq=16] Workload a7c2bcfd...: PASSED | 0.455 ms | sota=0.138 ms | gap=3.30x | 28.34x speedup | abs_err=4.10e+03, rel_err=7.98e+03
  [seq=32] Workload 6230e838...: PASSED | 0.524 ms | sota=0.201 ms | gap=2.61x | 27.49x speedup | abs_err=4.10e+03, rel_err=1.15e+03
  [seq=52] Workload f7d6ac7c...: PASSED | 0.482 ms | sota=0.179 ms | gap=2.69x | 28.01x speedup | abs_err=2.56e+03, rel_err=5.99e+03
  [seq=53] Workload fc378037...: PASSED | 0.559 ms | sota=0.230 ms | gap=2.43x | 26.53x speedup | abs_err=4.10e+03, rel_err=6.09e+03
  [seq=54] Workload 76010cb4...: PASSED | 0.527 ms | sota=0.218 ms | gap=2.42x | 27.70x speedup | abs_err=4.10e+03, rel_err=8.53e+03
  [seq=55] Workload 81955b1e...: PASSED | 0.554 ms | sota=0.233 ms | gap=2.38x | 26.64x speedup | abs_err=4.10e+03, rel_err=6.59e+02
  [seq=56] Workload 4822167c...: PASSED | 0.563 ms | sota=0.240 ms | gap=2.35x | 27.03x speedup | abs_err=4.10e+03, rel_err=2.54e+03
  [seq=57] Workload 74d7ff04...: PASSED | 0.556 ms | sota=0.237 ms | gap=2.35x | 27.12x speedup | abs_err=4.10e+03, rel_err=3.75e+03
  [seq=58] Workload e626d3e6...: PASSED | 0.560 ms | sota=0.242 ms | gap=2.31x | 27.66x speedup | abs_err=4.10e+03, rel_err=8.30e+03
  [seq=59] Workload eedc63b2...: PASSED | 0.509 ms | sota=0.202 ms | gap=2.52x | 27.23x speedup | abs_err=4.10e+03, rel_err=2.62e+04
  [seq=62] Workload 5eadab1e...: PASSED | 0.485 ms | sota=0.200 ms | gap=2.42x | 28.99x speedup | abs_err=4.10e+03, rel_err=7.19e+03
  [seq=80] Workload 8f1ff9f1...: PASSED | 0.611 ms | sota=0.269 ms | gap=2.27x | 26.32x speedup | abs_err=4.10e+03, rel_err=3.87e+03
  [seq=901] Workload 1a4c6ba1...: PASSED | 1.213 ms | sota=0.699 ms | gap=1.73x | 17.43x speedup | abs_err=3.58e+05, rel_err=2.74e+13
  [seq=11948] Workload 58a34f27...: PASSED | 4.997 ms | sota=3.671 ms | gap=1.36x | 7.21x speedup | abs_err=5.65e+05, rel_err=5.65e+13
  [seq=14107] Workload 5e8dc11c...: PASSED | 7.363 ms | sota=5.579 ms | gap=1.32x | 6.14x speedup | abs_err=5.10e+05, rel_err=4.30e+13
Stopping app - uncaught exception raised locally: SystemExit(0).
