✓ Initialized. View run at 
https://modal.com/apps/xjr2423/main/ap-xZjozDJtkZTevHuyfXeeTt
✓ Created objects.
├── 🔨 Created mount PythonPackage:bench
└── 🔨 Created function run_benchmark.
Packing solution from source files...
Loaded: my-team-solution-v1 (moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048)

Running benchmark on Modal B200...

[bench] wrote JSON to /home/ubuntu/data/jxu/kernel_agent/trajectory/20260418_040655_integrated-2/bench_result.json
COMPILED: True
CORRECT: True
RUNTIME: 1.1120
REF_RUNTIME: 16.8927
SPEEDUP: 25.69x
SOTA_GEOMEAN_GAP: 2.495x
SOTA_TOTAL_HEADROOM_MS: 8.208
SOTA_CONVERGED: 0/19 (within 1.10x)

[Kernel] TLX installed: False | GEMM1: unknown | GEMM2: unknown

--- moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048 ---
  [seq=1] Workload e05c6c03...: PASSED | 0.373 ms | sota=0.063 ms | gap=5.93x | 29.57x speedup | abs_err=4.10e+03, rel_err=3.57e+02
  [seq=7] Workload b8f4f012...: PASSED | 0.386 ms | sota=0.095 ms | gap=4.07x | 30.35x speedup | abs_err=3.07e+03, rel_err=1.51e+02
  [seq=14] Workload 8cba5890...: PASSED | 0.417 ms | sota=0.132 ms | gap=3.16x | 29.56x speedup | abs_err=4.10e+03, rel_err=6.00e+02
  [seq=15] Workload 2e69caee...: PASSED | 0.379 ms | sota=0.091 ms | gap=4.17x | 30.29x speedup | abs_err=3.07e+03, rel_err=6.11e+02
  [seq=16] Workload a7c2bcfd...: PASSED | 0.435 ms | sota=0.138 ms | gap=3.15x | 29.42x speedup | abs_err=4.10e+03, rel_err=7.51e+03
  [seq=32] Workload 6230e838...: PASSED | 0.521 ms | sota=0.201 ms | gap=2.59x | 26.57x speedup | abs_err=4.10e+03, rel_err=1.89e+03
  [seq=52] Workload f7d6ac7c...: PASSED | 0.445 ms | sota=0.179 ms | gap=2.49x | 30.16x speedup | abs_err=3.07e+03, rel_err=2.01e+03
  [seq=53] Workload fc378037...: PASSED | 0.527 ms | sota=0.230 ms | gap=2.29x | 28.01x speedup | abs_err=4.10e+03, rel_err=1.96e+03
  [seq=54] Workload 76010cb4...: PASSED | 0.532 ms | sota=0.218 ms | gap=2.44x | 27.27x speedup | abs_err=4.10e+03, rel_err=1.18e+03
  [seq=55] Workload 81955b1e...: PASSED | 0.534 ms | sota=0.233 ms | gap=2.29x | 27.69x speedup | abs_err=4.10e+03, rel_err=5.12e+03
  [seq=56] Workload 4822167c...: PASSED | 0.582 ms | sota=0.240 ms | gap=2.42x | 25.91x speedup | abs_err=4.10e+03, rel_err=8.54e+03
  [seq=57] Workload 74d7ff04...: PASSED | 0.528 ms | sota=0.237 ms | gap=2.23x | 27.99x speedup | abs_err=4.10e+03, rel_err=6.40e+02
  [seq=58] Workload e626d3e6...: PASSED | 0.532 ms | sota=0.242 ms | gap=2.20x | 28.62x speedup | abs_err=4.10e+03, rel_err=2.80e+03
  [seq=59] Workload eedc63b2...: PASSED | 0.490 ms | sota=0.202 ms | gap=2.42x | 27.97x speedup | abs_err=4.10e+03, rel_err=3.77e+03
  [seq=62] Workload 5eadab1e...: PASSED | 0.454 ms | sota=0.200 ms | gap=2.27x | 30.21x speedup | abs_err=4.10e+03, rel_err=2.85e+03
  [seq=80] Workload 8f1ff9f1...: PASSED | 0.577 ms | sota=0.269 ms | gap=2.14x | 27.58x speedup | abs_err=4.10e+03, rel_err=8.60e+03
  [seq=901] Workload 1a4c6ba1...: PASSED | 1.202 ms | sota=0.699 ms | gap=1.72x | 17.54x speedup | abs_err=3.66e+05, rel_err=3.11e+13
  [seq=11948] Workload 58a34f27...: PASSED | 4.934 ms | sota=3.671 ms | gap=1.34x | 7.26x speedup | abs_err=4.42e+05, rel_err=4.38e+13
  [seq=14107] Workload 5e8dc11c...: PASSED | 7.279 ms | sota=5.579 ms | gap=1.30x | 6.17x speedup | abs_err=5.57e+05, rel_err=5.57e+13
Stopping app - uncaught exception raised locally: SystemExit(0).
